name,full_name,owner,git_url,clone_url,size,language,author,login,url,userProficiency,location
zhao,programthink/zhao,"{'login': 'programthink', 'id': 4027957, 'node_id': 'MDQ6VXNlcjQwMjc5NTc=', 'avatar_url': 'https://avatars.githubusercontent.com/u/4027957?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/programthink', 'html_url': 'https://github.com/programthink', 'followers_url': 'https://api.github.com/users/programthink/followers', 'following_url': 'https://api.github.com/users/programthink/following{/other_user}', 'gists_url': 'https://api.github.com/users/programthink/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/programthink/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/programthink/subscriptions', 'organizations_url': 'https://api.github.com/users/programthink/orgs', 'repos_url': 'https://api.github.com/users/programthink/repos', 'events_url': 'https://api.github.com/users/programthink/events{/privacy}', 'received_events_url': 'https://api.github.com/users/programthink/received_events', 'type': 'User', 'site_admin': False}",git://github.com/programthink/zhao.git,https://github.com/programthink/zhao.git,72400,Python,programthink,programthink,https://api.github.com/users/programthink,<50,China
Deep-Learning,Jack-Cherish/Deep-Learning,"{'login': 'Jack-Cherish', 'id': 16872370, 'node_id': 'MDQ6VXNlcjE2ODcyMzcw', 'avatar_url': 'https://avatars.githubusercontent.com/u/16872370?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/Jack-Cherish', 'html_url': 'https://github.com/Jack-Cherish', 'followers_url': 'https://api.github.com/users/Jack-Cherish/followers', 'following_url': 'https://api.github.com/users/Jack-Cherish/following{/other_user}', 'gists_url': 'https://api.github.com/users/Jack-Cherish/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/Jack-Cherish/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/Jack-Cherish/subscriptions', 'organizations_url': 'https://api.github.com/users/Jack-Cherish/orgs', 'repos_url': 'https://api.github.com/users/Jack-Cherish/repos', 'events_url': 'https://api.github.com/users/Jack-Cherish/events{/privacy}', 'received_events_url': 'https://api.github.com/users/Jack-Cherish/received_events', 'type': 'User', 'site_admin': False}",git://github.com/Jack-Cherish/Deep-Learning.git,https://github.com/Jack-Cherish/Deep-Learning.git,61476,Python,Jack-Cherish,Jack-Cherish,https://api.github.com/users/Jack-Cherish,<50,China
dsi,Jack-Cherish/dsi,"{'login': 'Jack-Cherish', 'id': 16872370, 'node_id': 'MDQ6VXNlcjE2ODcyMzcw', 'avatar_url': 'https://avatars.githubusercontent.com/u/16872370?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/Jack-Cherish', 'html_url': 'https://github.com/Jack-Cherish', 'followers_url': 'https://api.github.com/users/Jack-Cherish/followers', 'following_url': 'https://api.github.com/users/Jack-Cherish/following{/other_user}', 'gists_url': 'https://api.github.com/users/Jack-Cherish/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/Jack-Cherish/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/Jack-Cherish/subscriptions', 'organizations_url': 'https://api.github.com/users/Jack-Cherish/orgs', 'repos_url': 'https://api.github.com/users/Jack-Cherish/repos', 'events_url': 'https://api.github.com/users/Jack-Cherish/events{/privacy}', 'received_events_url': 'https://api.github.com/users/Jack-Cherish/received_events', 'type': 'User', 'site_admin': False}",git://github.com/Jack-Cherish/dsi.git,https://github.com/Jack-Cherish/dsi.git,5671,Python,Jack-Cherish,Jack-Cherish,https://api.github.com/users/Jack-Cherish,<50,China
DeepLearning,Jack-Cherish/DeepLearning,"{'login': 'Jack-Cherish', 'id': 16872370, 'node_id': 'MDQ6VXNlcjE2ODcyMzcw', 'avatar_url': 'https://avatars.githubusercontent.com/u/16872370?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/Jack-Cherish', 'html_url': 'https://github.com/Jack-Cherish', 'followers_url': 'https://api.github.com/users/Jack-Cherish/followers', 'following_url': 'https://api.github.com/users/Jack-Cherish/following{/other_user}', 'gists_url': 'https://api.github.com/users/Jack-Cherish/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/Jack-Cherish/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/Jack-Cherish/subscriptions', 'organizations_url': 'https://api.github.com/users/Jack-Cherish/orgs', 'repos_url': 'https://api.github.com/users/Jack-Cherish/repos', 'events_url': 'https://api.github.com/users/Jack-Cherish/events{/privacy}', 'received_events_url': 'https://api.github.com/users/Jack-Cherish/received_events', 'type': 'User', 'site_admin': False}",git://github.com/Jack-Cherish/DeepLearning.git,https://github.com/Jack-Cherish/DeepLearning.git,20114,Python,Jack-Cherish,Jack-Cherish,https://api.github.com/users/Jack-Cherish,<50,China
redisbook1e-gallery,huangzworks/redisbook1e-gallery,"{'login': 'huangzworks', 'id': 536854, 'node_id': 'MDQ6VXNlcjUzNjg1NA==', 'avatar_url': 'https://avatars.githubusercontent.com/u/536854?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/huangzworks', 'html_url': 'https://github.com/huangzworks', 'followers_url': 'https://api.github.com/users/huangzworks/followers', 'following_url': 'https://api.github.com/users/huangzworks/following{/other_user}', 'gists_url': 'https://api.github.com/users/huangzworks/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/huangzworks/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/huangzworks/subscriptions', 'organizations_url': 'https://api.github.com/users/huangzworks/orgs', 'repos_url': 'https://api.github.com/users/huangzworks/repos', 'events_url': 'https://api.github.com/users/huangzworks/events{/privacy}', 'received_events_url': 'https://api.github.com/users/huangzworks/received_events', 'type': 'User', 'site_admin': False}",git://github.com/huangzworks/redisbook1e-gallery.git,https://github.com/huangzworks/redisbook1e-gallery.git,6814,Python,huangzworks,huangzworks,https://api.github.com/users/huangzworks,<50,China
redisbook1e,huangzworks/redisbook1e,"{'login': 'huangzworks', 'id': 536854, 'node_id': 'MDQ6VXNlcjUzNjg1NA==', 'avatar_url': 'https://avatars.githubusercontent.com/u/536854?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/huangzworks', 'html_url': 'https://github.com/huangzworks', 'followers_url': 'https://api.github.com/users/huangzworks/followers', 'following_url': 'https://api.github.com/users/huangzworks/following{/other_user}', 'gists_url': 'https://api.github.com/users/huangzworks/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/huangzworks/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/huangzworks/subscriptions', 'organizations_url': 'https://api.github.com/users/huangzworks/orgs', 'repos_url': 'https://api.github.com/users/huangzworks/repos', 'events_url': 'https://api.github.com/users/huangzworks/events{/privacy}', 'received_events_url': 'https://api.github.com/users/huangzworks/received_events', 'type': 'User', 'site_admin': False}",git://github.com/huangzworks/redisbook1e.git,https://github.com/huangzworks/redisbook1e.git,10926,Python,huangzworks,huangzworks,https://api.github.com/users/huangzworks,<50,China
redis-manual-website,huangzworks/redis-manual-website,"{'login': 'huangzworks', 'id': 536854, 'node_id': 'MDQ6VXNlcjUzNjg1NA==', 'avatar_url': 'https://avatars.githubusercontent.com/u/536854?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/huangzworks', 'html_url': 'https://github.com/huangzworks', 'followers_url': 'https://api.github.com/users/huangzworks/followers', 'following_url': 'https://api.github.com/users/huangzworks/following{/other_user}', 'gists_url': 'https://api.github.com/users/huangzworks/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/huangzworks/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/huangzworks/subscriptions', 'organizations_url': 'https://api.github.com/users/huangzworks/orgs', 'repos_url': 'https://api.github.com/users/huangzworks/repos', 'events_url': 'https://api.github.com/users/huangzworks/events{/privacy}', 'received_events_url': 'https://api.github.com/users/huangzworks/received_events', 'type': 'User', 'site_admin': False}",git://github.com/huangzworks/redis-manual-website.git,https://github.com/huangzworks/redis-manual-website.git,13409,Python,huangzworks,huangzworks,https://api.github.com/users/huangzworks,<50,China
MachineLearning,wepe/MachineLearning,"{'login': 'wepe', 'id': 9136322, 'node_id': 'MDQ6VXNlcjkxMzYzMjI=', 'avatar_url': 'https://avatars.githubusercontent.com/u/9136322?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/wepe', 'html_url': 'https://github.com/wepe', 'followers_url': 'https://api.github.com/users/wepe/followers', 'following_url': 'https://api.github.com/users/wepe/following{/other_user}', 'gists_url': 'https://api.github.com/users/wepe/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/wepe/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/wepe/subscriptions', 'organizations_url': 'https://api.github.com/users/wepe/orgs', 'repos_url': 'https://api.github.com/users/wepe/repos', 'events_url': 'https://api.github.com/users/wepe/events{/privacy}', 'received_events_url': 'https://api.github.com/users/wepe/received_events', 'type': 'User', 'site_admin': False}",git://github.com/wepe/MachineLearning.git,https://github.com/wepe/MachineLearning.git,8209,Python,wepe,wepe,https://api.github.com/users/wepe,<50,China
thorns,ring04h/thorns,"{'login': 'ring04h', 'id': 92474, 'node_id': 'MDQ6VXNlcjkyNDc0', 'avatar_url': 'https://avatars.githubusercontent.com/u/92474?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/ring04h', 'html_url': 'https://github.com/ring04h', 'followers_url': 'https://api.github.com/users/ring04h/followers', 'following_url': 'https://api.github.com/users/ring04h/following{/other_user}', 'gists_url': 'https://api.github.com/users/ring04h/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/ring04h/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/ring04h/subscriptions', 'organizations_url': 'https://api.github.com/users/ring04h/orgs', 'repos_url': 'https://api.github.com/users/ring04h/repos', 'events_url': 'https://api.github.com/users/ring04h/events{/privacy}', 'received_events_url': 'https://api.github.com/users/ring04h/received_events', 'type': 'User', 'site_admin': False}",git://github.com/ring04h/thorns.git,https://github.com/ring04h/thorns.git,3059,Python,ring04h,ring04h,https://api.github.com/users/ring04h,<50,China
dirfuzz,ring04h/dirfuzz,"{'login': 'ring04h', 'id': 92474, 'node_id': 'MDQ6VXNlcjkyNDc0', 'avatar_url': 'https://avatars.githubusercontent.com/u/92474?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/ring04h', 'html_url': 'https://github.com/ring04h', 'followers_url': 'https://api.github.com/users/ring04h/followers', 'following_url': 'https://api.github.com/users/ring04h/following{/other_user}', 'gists_url': 'https://api.github.com/users/ring04h/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/ring04h/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/ring04h/subscriptions', 'organizations_url': 'https://api.github.com/users/ring04h/orgs', 'repos_url': 'https://api.github.com/users/ring04h/repos', 'events_url': 'https://api.github.com/users/ring04h/events{/privacy}', 'received_events_url': 'https://api.github.com/users/ring04h/received_events', 'type': 'User', 'site_admin': False}",git://github.com/ring04h/dirfuzz.git,https://github.com/ring04h/dirfuzz.git,17175,Python,ring04h,ring04h,https://api.github.com/users/ring04h,<50,China
