What is your native language?,How would you rate your English proficiency?,How many hours per day do you spend speaking English?,Can you watch TV in English without subtitles?,How often do you use variable names transcribed from your language while coding?,How would you rate your coding proficiency?,How many years have you worked coding (not including higher education),Which of the following is a Boolean?,Which website do you use for coding help?,1. How would you name this piece of code?,1. How easy was this code to understand?,2. How would you name this piece of code?,2. How easy was this code to understand?,3. How would you name this piece of code?,3. How easy was this code to understand?,4. How would you name this piece of code?,4. How easy was this code to understand?,5. How would you name this piece of code?,5. How easy was this code to understand?,6. How would you name this piece of code?,6. How easy was this code to understand?,q1 graded,q2 graded,q3 graded,q4 graded,q5 graded,q6 graded,coding_background_score,code_score(all),coding_proficiency(all),code_score(full name),coding_proficiency(full name),code_score(abbreviate name),coding_proficiency(abbreviate name),code_score(no name),coding_proficiency(no name),English_proficiency
Russian,3,1,1.0,1,4,5-10,TRUE,StackOverflow,Get factorial of C and cache the result,1,removing spaces from input and turn result case to camelCase,1,return the sum of digits in number,1,Check if provided sequence is a palindrome,1,Return the number that is most presented in provided sequence,5,return the sum of squares in provided sequence,1,1.0,1.0,1.0,1.0,1,1,0.75,0.9,0.8166666666666668,0.5,0.6833333333333332,0.4,0.65,0.5,0.6833333333333332,0.45833333333333337
Russian,3,1,1.0,1,3,5-10,TRUE,StackOverflow,функция,5,get_camelcase,1,get_digit_sum,1,find_uniq_in_array,5,get_most_common_values,5,get_squares_sum_from_list,5,0.0,1.0,1.0,0.0,1,1,0.75,0.55,0.6333333333333333,0.25,0.5333333333333333,0.4,0.5833333333333334,0.4,0.5833333333333334,0.45833333333333337
Ukranian,4,1,0.0,1,3,2-5,TRUE,StackOverflow,recursion,5,Camel case,1,Sum of digits,3,Palindrome,1,Most frequent in array,3,Sum of squares,1,0.5,1.0,1.0,1.0,1,1,0.5,0.7875,0.6291666666666668,0.3875,0.4958333333333333,0.45,0.5166666666666666,0.45,0.5166666666666666,0.325
Ukranian,3,2,1.0,5,4,10+,TRUE,StackOverflow,Factorial,5,Convert string to camel case,1,Digits summary,1,Mirror string,1,Most frequency number,1,Sum of numbers squares,1,1.0,1.0,1.0,1.0,1,1,1.0,0.9,0.9,0.4,0.7333333333333334,0.5,0.7666666666666666,0.5,0.7666666666666666,0.35
Korean,4,2,1.0,5,4,2-5,TRUE,StackOverflow,1,3,,3,2,3,5,3,5,3,1,3,0.0,0.0,0.0,0.0,0,0,0.5,0.25,0.5166666666666667,0.25,0.5166666666666667,0.25,0.5166666666666667,0.25,0.5166666666666667,0.3833333333333333
Chinese,5,10,1.0,2,5,2-5,TRUE,StackOverflow,factorial,1,cmlcase,1,各位數數字和,5,檢測序列是否對稱,5,找出最長出現的元素,5,找平方和,5,1.0,1.0,1.0,1.0,1,1,0.5,0.6000000000000001,0.7000000000000001,0.4,0.6333333333333333,0.4,0.6333333333333333,0.30000000000000004,0.6,0.7166666666666666
Chinese,3,3,0.0,3,5,10+,TRUE,ByteNexus,,5,,5,,1,,1,,1,,1,0.0,0.0,0.0,0.0,0,0,1.0,0.125,0.7083333333333334,0.125,0.7083333333333334,0.125,0.7083333333333334,0.125,0.7083333333333334,0.27499999999999997
Hebrew,5,0,1.0,1,3,2-5,TRUE,StackOverflow,StoreMulByPrev,5,ToLowerCamelCase,1,DigitSum,1,IsPalindrome,1,MostFrequentNum,1,SumOfSquares,1,0.5,1.0,1.0,1.0,1,1,0.5,0.8875,0.6625,0.3875,0.4958333333333333,0.5,0.5333333333333333,0.5,0.5333333333333333,0.5
English,5,10,1.0,1,3,0-1,TRUE,StackOverflow,,5,Sentence splitter,5,Sum of digit values,1,Symmetry check,1,Which number is most common,1,Squared norm,1,0.0,0.5,1.0,1.0,1,1,0.25,0.7625,0.5375,0.375,0.4083333333333334,0.3875,0.4124999999999999,0.5,0.45,1.0
Hebrew,4,0,1.0,1,2,0-1,TRUE,StackOverflow,Recursion,5,For loop,5,While loop,1,If statement nested in a while loop,1,"If, else statements nested in for loops",5,For loop,1,0.5,0.0,0.0,0.0,0,0,0.25,0.2625,0.30416666666666664,0.2625,0.30416666666666664,0.25,0.3,0.25,0.3,0.4666666666666666
