What is your native language?,How would you rate your English proficiency?,How many hours per day do you spend speaking English?,Can you watch TV in English without subtitles?,How often do you use variable names transcribed from your language while coding?,How would you rate your coding proficiency?,How many years have you worked coding (not including higher education),Which of the following is a Boolean?,Which website do you use for coding help?,1. How would you name this piece of code?,1. How easy was this code to understand?,2. How would you name this piece of code?,2. How easy was this code to understand?,3. How would you name this piece of code?,3. How easy was this code to understand?,4. How would you name this piece of code?,4. How easy was this code to understand?,5. How would you name this piece of code?,5. How easy was this code to understand?,6. How would you name this piece of code?,6. How easy was this code to understand?,q1 graded,q2 graded,q3 graded,q4 graded,q5 graded,q6 graded
Russian,3,1,1,1,4,5-10,TRUE,StackOverflow,Get factorial of C and cache the result,1,removing spaces from input and turn result case to camelCase,1,return the sum of digits in number,1,Check if provided sequence is a palindrome,1,Return the number that is most presented in provided sequence,2,return the sum of squares in provided sequence,1,1,1,1,1,1,1
Russian,3,1,1,1,3,5-10,TRUE,StackOverflow,функция,5,get_camelcase,4,get_digit_sum,4,find_uniq_in_array,5,get_most_common_values,5,get_squares_sum_from_list,5,0,1,1,0,1,1
Ukranian,4,1,0,1,3,2-5,TRUE,StackOverflow,recursion,3,Camel case,1,Sum of digits,2,Palindrome,1,Most frequent in array,2,Sum of squares,1,0.5,1,1,1,1,1
Ukranian,3,2,1,5,4,10+,TRUE,StackOverflow,Factorial,2,Convert string to camel case,1,Digits summary,1,Mirror string,1,Most frequency number,1,Sum of numbers squares,1,1,1,1,1,1,1
Korean,4,2,1,5,4,2-5,TRUE,StackOverflow,1,3,,3,2,3,5,3,5,3,1,3,0,0,0,0,0,0
Chinese,5,10,1,2,5,2-5,TRUE,StackOverflow,factorial,3,cmlcase,3,各位數數字和,5,檢測序列是否對稱,5,找出最長出現的元素,5,找平方和,5,1,1,1,1,1,1
Chinese,3,3,0,3,5,10+,TRUE,ByteNexus,,3,,3,,0,,0,,0,,0,0,0,0,0,0,0
Hebrew,5,0,1,1,3,2-5,TRUE,StackOverflow,StoreMulByPrev,2,ToLowerCamelCase,1,DigitSum,1,IsPalindrome,1,MostFrequentNum,1,SumOfSquares,1,0.5,1,1,1,1,1
English,0,0,,0,3,0-1,TRUE,StackOverflow,,3,Sentence splitter,3,Sum of digit values,2,Symmetry check,2,Which number is most common,2,Squared norm,2,0,0.5,1,1,1,1
Hebrew,4,0,1,1,2,0-1,TRUE,StackOverflow,Recursion,2,For loop,2,While loop,1,If statement nested in a while loop,1,"If, else statements nested in for loops",2,For loop,1,0.5,0,0,0,0,0
